Year,Sem,,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,,Overall course rate
2019,Fall,, College of Fine Arts,ARC,48753,A,"DAWKINS, MARANTHA",INTRO UD MED,Graduate,12,8,66.7%,6.50,4.63,4.13,4.38,4.50,4.25,4.50,5.00,4.38,,4.13
2019,Fall,, College of Fine Arts,ARC,48753,A1,"DAWKINS, MARANTHA",INTRO UD MED,Graduate,14,5,35.7%,7.40,4.00,3.00,3.60,4.40,3.60,3.40,4.60,3.60,,3.20
2019,Fall,, College of Fine Arts,ARC,48755,A,"BIDGOLI, Ardavan",INTO ARC ROB,Graduate,5,4,80.0%,8.75,3.75,3.75,4.00,3.50,4.00,3.50,4.75,3.50,,3.50
2019,Fall,, College of Fine Arts,ARC,48763,A,"LEE, JOSHUA",PROTEAN SYS,Graduate,6,2,33.3%,8.00,5.00,5.00,5.00,4.00,4.50,4.00,5.00,4.50,,4.50
2019,Fall,, College of Fine Arts,ARC,48765,A,"LEE, JOSHUA",AECM SYNTH PROJECT,Graduate,4,2,50.0%,9.50,4.50,4.50,4.00,5.00,4.00,4.50,4.00,4.50,,4.00
2019,Fall,, College of Fine Arts,ARC,48765,A,"COCHRAN, ERICA",AECM SYNTH PROJECT,Graduate,4,2,50.0%,9.50,4.50,4.00,4.00,4.50,4.50,5.00,5.00,4.50,,4.50
2019,Fall,, College of Fine Arts,ARC,48767,A,"QUICK, STEPHEN",TRANSDISCP THINKING,Graduate,8,6,75.0%,13.50,4.67,4.50,4.50,4.67,4.83,4.67,4.67,4.50,,4.33
2019,Fall,, College of Fine Arts,ARC,48768,A,"COCHRAN, ERICA",IEQ,Graduate,12,7,58.3%,6.71,4.86,4.71,4.86,4.43,4.86,4.71,5.00,4.71,,4.57
2019,Fall,, College of Fine Arts,ARC,48769,A,"LEE, STEPHEN",THESIS/PROJECT,Graduate,8,4,50.0%,17.00,2.50,2.50,2.50,2.50,2.50,2.50,3.00,2.50,,2.50
2019,Fall,, College of Fine Arts,ARC,48769,A,"KRISHNAMURTI, RAMESH",THESIS/PROJECT,Graduate,8,4,50.0%,21.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,3.00
2019,Fall,, College of Fine Arts,ARC,48769,A,"KARAGUZEL, OMER",THESIS/PROJECT,Graduate,8,4,50.0%,21.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48769,A,"COCHRAN, ERICA",THESIS/PROJECT,Graduate,8,4,50.0%,21.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48769,A,"LOFTNESS, VIVIAN",THESIS/PROJECT,Graduate,8,4,50.0%,18.33,4.00,4.00,4.33,3.67,4.33,4.33,4.33,4.33,,4.00
2019,Fall,, College of Fine Arts,ARC,48769,A,"HARTKOPF, VOLKER",THESIS/PROJECT,Graduate,8,4,50.0%,19.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,4.00
2019,Fall,, College of Fine Arts,ARC,48769,A,"ABDUL-AZIZ, AZIZAN",THESIS/PROJECT,Graduate,8,4,50.0%,21.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48783,A,"BARD, JOSHUA",GEN MOD GRAD,Graduate,10,6,60.0%,7.00,4.67,4.50,4.50,4.50,4.33,4.50,4.50,4.50,,4.17
